locality,woeid
North America,
New York,2459115
Los Angeles,2442047
Chicago,2379574
Dallas,2388929
Houston,2424758
Toronto,4118
Washington,2514590
Philadelphia,2471217
Miami,2450077
México,133480
Europe,
London,44418
Berlin,638243
Madrid,766273
Rome,721943
Paris,615702
Moscow,2122265
Istanbul,2344116
Warsaw,523920
Vienna,551801
Prague,796597
Chaina,
Aba ( 阿坝 ),2158603
Abagqi ( 新浩特镇 ),2149850
Acheng ( 小岭镇 ),2141531
Acheng ( 平山 ),2141447
Acheng ( 玉泉镇 ),2141260
Acheng ( 阿城 ),2141171
Akqi ( 阿合奇 ),2143716
Aksay ( 长草沟 ),2145100
Aksu ( 阿克苏 ),2143693
Akto ( 阿克陶 ),2143785
Alaxyouqi ( 巴彦莫德 ),2149812
Altay ( 北屯镇 ),2143295
Amdo ( 帕那 ),2144508
An'shan ( 大孤山 ),2148431
Australia,
Sydney,1105779
Melbourne,1103816
Brisbane,1100661
Perth,1098081
Adelaide,1099805
Asia,
Bangkok,1225448
New Delhi,2295019
Mumbai,2295411
Kuala Lumpur,1154781
Hanoi,1236594
Islamabad,2211027
Africa,
Cape Town,1591691
Johannesburg,1582504
Lagos,1398823
Nairobi,1528488
